Entity,Code,Year,Number of people in poverty ($3 a day)
East Asia and Pacific (WB),,1990,1217277108
East Asia and Pacific (WB),,1991,1215450708
East Asia and Pacific (WB),,1992,1200299390
East Asia and Pacific (WB),,1993,1183328575
East Asia and Pacific (WB),,1994,1125949218
East Asia and Pacific (WB),,1995,1071165749
East Asia and Pacific (WB),,1996,1014763860
East Asia and Pacific (WB),,1997,1013926194
East Asia and Pacific (WB),,1998,1034936651
East Asia and Pacific (WB),,1999,997146029
East Asia and Pacific (WB),,2000,958725223
East Asia and Pacific (WB),,2001,915200113
East Asia and Pacific (WB),,2002,839536605
East Asia and Pacific (WB),,2003,766860327
East Asia and Pacific (WB),,2004,700611643
East Asia and Pacific (WB),,2005,618983776
East Asia and Pacific (WB),,2006,598721254
East Asia and Pacific (WB),,2007,545491047
East Asia and Pacific (WB),,2008,512888270
East Asia and Pacific (WB),,2009,471960607
East Asia and Pacific (WB),,2010,417337978
East Asia and Pacific (WB),,2011,346010577
East Asia and Pacific (WB),,2012,302657481
East Asia and Pacific (WB),,2013,206230989
East Asia and Pacific (WB),,2014,179178721
East Asia and Pacific (WB),,2015,141070944
East Asia and Pacific (WB),,2016,117660926
East Asia and Pacific (WB),,2017,97942688
East Asia and Pacific (WB),,2018,77862565
East Asia and Pacific (WB),,2019,61047528
East Asia and Pacific (WB),,2020,64627138
East Asia and Pacific (WB),,2021,62442500
East Asia and Pacific (WB),,2022,57690303
East Asia and Pacific (WB),,2023,52510074
East Asia and Pacific (WB),,2024,47670552
East Asia and Pacific (WB),,2025,44906010
East Asia and Pacific (WB),,2026,41710766
East Asia and Pacific (WB),,2027,38606202
East Asia and Pacific (WB),,2028,35967615
East Asia and Pacific (WB),,2029,33260194
East Asia and Pacific (WB),,2030,30866810
East Asia and Pacific (WB),,2031,30092726
East Asia and Pacific (WB),,2032,29350554
East Asia and Pacific (WB),,2033,28592502
East Asia and Pacific (WB),,2034,28005885
East Asia and Pacific (WB),,2035,27721798
East Asia and Pacific (WB),,2036,27121428
East Asia and Pacific (WB),,2037,26861392
East Asia and Pacific (WB),,2038,26474693
East Asia and Pacific (WB),,2039,26343991
East Asia and Pacific (WB),,2040,26092139
Europe and Central Asia (WB),,1990,33982771
Europe and Central Asia (WB),,1991,38412303
Europe and Central Asia (WB),,1992,46832107
Europe and Central Asia (WB),,1993,52034700
Europe and Central Asia (WB),,1994,64922403
Europe and Central Asia (WB),,1995,62474229
Europe and Central Asia (WB),,1996,64151329
Europe and Central Asia (WB),,1997,58572490
Europe and Central Asia (WB),,1998,60361567
Europe and Central Asia (WB),,1999,75408442
Europe and Central Asia (WB),,2000,65719837
Europe and Central Asia (WB),,2001,59923395
Europe and Central Asia (WB),,2002,53465263
Europe and Central Asia (WB),,2003,51730897
Europe and Central Asia (WB),,2004,44486671
Europe and Central Asia (WB),,2005,43979157
Europe and Central Asia (WB),,2006,38707885
Europe and Central Asia (WB),,2007,35495130
Europe and Central Asia (WB),,2008,32900448
Europe and Central Asia (WB),,2009,33116906
Europe and Central Asia (WB),,2010,33425211
Europe and Central Asia (WB),,2011,32337786
Europe and Central Asia (WB),,2012,32563839
Europe and Central Asia (WB),,2013,9884835
Europe and Central Asia (WB),,2014,10790404
Europe and Central Asia (WB),,2015,10820855
Europe and Central Asia (WB),,2016,8891627
Europe and Central Asia (WB),,2017,8951967
Europe and Central Asia (WB),,2018,7540089
Europe and Central Asia (WB),,2019,6990717
Europe and Central Asia (WB),,2020,7623847
Europe and Central Asia (WB),,2021,6940009
Europe and Central Asia (WB),,2022,6419694
Europe and Central Asia (WB),,2023,5731575
Europe and Central Asia (WB),,2024,4961488
Europe and Central Asia (WB),,2025,4725451
Europe and Central Asia (WB),,2026,4551503
Europe and Central Asia (WB),,2027,4422491
Europe and Central Asia (WB),,2028,4143735
Europe and Central Asia (WB),,2029,3997988
Europe and Central Asia (WB),,2030,3855106
Europe and Central Asia (WB),,2031,3630620
Europe and Central Asia (WB),,2032,3507975
Europe and Central Asia (WB),,2033,3437673
Europe and Central Asia (WB),,2034,3312790
Europe and Central Asia (WB),,2035,3122817
Europe and Central Asia (WB),,2036,2979090
Europe and Central Asia (WB),,2037,2888812
Europe and Central Asia (WB),,2038,2780842
Europe and Central Asia (WB),,2039,2693735
Europe and Central Asia (WB),,2040,2622098
Latin America and Caribbean (WB),,1990,91363999
Latin America and Caribbean (WB),,1991,90120376
Latin America and Caribbean (WB),,1992,92328737
Latin America and Caribbean (WB),,1993,93731106
Latin America and Caribbean (WB),,1994,92130719
Latin America and Caribbean (WB),,1995,89187958
Latin America and Caribbean (WB),,1996,97248607
Latin America and Caribbean (WB),,1997,96593874
Latin America and Caribbean (WB),,1998,96845235
Latin America and Caribbean (WB),,1999,99779866
Latin America and Caribbean (WB),,2000,94168917
Latin America and Caribbean (WB),,2001,94408293
Latin America and Caribbean (WB),,2002,91446045
Latin America and Caribbean (WB),,2003,89774321
Latin America and Caribbean (WB),,2004,83799253
Latin America and Caribbean (WB),,2005,79018041
Latin America and Caribbean (WB),,2006,67451661
Latin America and Caribbean (WB),,2007,61340250
Latin America and Caribbean (WB),,2008,57065114
Latin America and Caribbean (WB),,2009,55267165
Latin America and Caribbean (WB),,2010,49739487
Latin America and Caribbean (WB),,2011,45876501
Latin America and Caribbean (WB),,2012,44255271
Latin America and Caribbean (WB),,2013,40598875
Latin America and Caribbean (WB),,2014,38798184
Latin America and Caribbean (WB),,2015,36407802
Latin America and Caribbean (WB),,2016,37816191
Latin America and Caribbean (WB),,2017,37720629
Latin America and Caribbean (WB),,2018,37504788
Latin America and Caribbean (WB),,2019,38350555
Latin America and Caribbean (WB),,2020,36417739
Latin America and Caribbean (WB),,2021,40588238
Latin America and Caribbean (WB),,2022,32951415
Latin America and Caribbean (WB),,2023,30266454
Latin America and Caribbean (WB),,2024,29622867
Latin America and Caribbean (WB),,2025,29450667
Latin America and Caribbean (WB),,2026,29092356
Latin America and Caribbean (WB),,2027,28546619
Latin America and Caribbean (WB),,2028,27899513
Latin America and Caribbean (WB),,2029,27385386
Latin America and Caribbean (WB),,2030,26789112
Latin America and Caribbean (WB),,2031,26706525
Latin America and Caribbean (WB),,2032,26880997
Latin America and Caribbean (WB),,2033,27025962
Latin America and Caribbean (WB),,2034,26853267
Latin America and Caribbean (WB),,2035,26958110
Latin America and Caribbean (WB),,2036,26882585
Latin America and Caribbean (WB),,2037,27026135
Latin America and Caribbean (WB),,2038,26923769
Latin America and Caribbean (WB),,2039,27061081
Latin America and Caribbean (WB),,2040,27065225
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,1990,131247825
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,1991,126086622
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,1992,114477168
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,1993,118158487
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,1994,110098575
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,1995,111218310
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,1996,103862171
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,1997,104626112
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,1998,109181834
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,1999,112967651
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2000,117915067
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2001,124475963
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2002,125064541
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2003,117656172
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2004,107967687
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2005,104423775
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2006,100169056
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2007,97315549
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2008,87549927
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2009,93042981
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2010,83356161
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2011,82798152
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2012,80162618
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2013,77449203
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2014,78029782
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2015,78476900
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2016,79876958
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2017,79371371
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2018,80634030
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2019,84679395
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2020,91175664
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2021,92198108
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2022,90978065
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2023,92475306
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2024,95889316
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2025,97197072
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2026,100441433
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2027,103424993
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2028,103674117
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2029,104671707
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2030,105494793
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2031,109110917
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2032,112775435
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2033,116766534
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2034,120380579
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2035,124583384
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2036,128329221
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2037,131618512
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2038,135507521
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2039,139135304
"Middle East, North Africa, Afghanistan and Pakistan (WB)",,2040,143369921
North America (WB),,1990,1310069
North America (WB),,1991,1462258
North America (WB),,1992,1465517
North America (WB),,1993,1671425
North America (WB),,1994,1756697
North America (WB),,1995,1675645
North America (WB),,1996,1624527
North America (WB),,1997,1812124
North America (WB),,1998,2111521
North America (WB),,1999,1820986
North America (WB),,2000,1903104
North America (WB),,2001,2397242
North America (WB),,2002,2263327
North America (WB),,2003,2706703
North America (WB),,2004,2818118
North America (WB),,2005,2799632
North America (WB),,2006,2845223
North America (WB),,2007,2785865
North America (WB),,2008,3043534
North America (WB),,2009,2716000
North America (WB),,2010,3201572
North America (WB),,2011,3079791
North America (WB),,2012,3130864
North America (WB),,2013,3184510
North America (WB),,2014,3889545
North America (WB),,2015,3661391
North America (WB),,2016,3515822
North America (WB),,2017,3905495
North America (WB),,2018,3359703
North America (WB),,2019,3027006
North America (WB),,2020,945002
North America (WB),,2021,857023
North America (WB),,2022,4152369
North America (WB),,2023,3783447
North America (WB),,2024,3804134
North America (WB),,2025,3806127
North America (WB),,2026,3819406
North America (WB),,2027,3836718
North America (WB),,2028,3854082
North America (WB),,2029,3870647
North America (WB),,2030,3886928
North America (WB),,2031,3902888
North America (WB),,2032,3918605
North America (WB),,2033,3934044
North America (WB),,2034,3949418
North America (WB),,2035,3964329
North America (WB),,2036,3621254
North America (WB),,2037,3634383
North America (WB),,2038,3647375
